question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q29778,What do you think about the current trend in historical dating of replacing A.D. (Anno Domini) with C.E. (Common Era)?,It's a travesty!,It upsets me a little.,I really couldn't care less.,Thank goodness!,3263,O,,religion/superstition; opinion
q29792,Do you like wearing formal attire?,"Yes, I love dressing up.","Occasionally,  when I need to.",No / It makes me uncomfortable.,No opinion/Never had to,22112,O,"3, 4, 2, 1",preference
q29797,Could you be in a relationship with someone who had been previously sexually abused?,Yes,Yes - if that didn't affect our sex life.,I'm Not Sure,No,8270,O,,sex/intimacy; descriptive
q29815,What do you think of reality television?,I love it!,It's alright.,I dislike it.,I have no opinion on reality television,23291,O,"3, 4, 2, 1",preference
q29829,How often do you keep your promises?,Always,Whenever possible,Usually,When convenient,49564,O,,descriptive
q29843,"If your date told you they were in the pornography business, in a non-sexual way (e.g. camera operator, lighting, directing) would it bother you?","Yes, a lot!","Yes, a little.","No, non-sexual's fine.","No, I'd encourage them to join the cast!",14778,O,,preference
q29859,"What if you found out, just before the wedding, that the love of your life was sterile and unable to ever have kids?",Break off the wedding,Continue the wedding and adopt,Continue the wedding and not adopt,Celebrate and get married,14090,O,"4, (2, 3), 1",preference
q29909,Do you find thunderstorms romantic?,"Yes, tremendously.",I guess so.,"Enh, I could care less.",God no!  They're scary!,5107,O,,preference
q29981,Do you like to spend time with your friends and partner together or only separately?,I like for us all to hang out together.,I like to keep the two separated.,I'm not sure/I don't care.,I like to do both more or less equally.,3705,O,"2, (3, 4), 1",preference
q30066,Do you drink milk and juice straight out of the carton and then put it back in the fridge?,"Yes, I drink it straight from the carton.",Sometimes--if no one else around to see.,Yes. Only because I don't live with anyone else.,"Ewww.  No, that's gross.  I pour it first.",5563,O,,descriptive
q30169,Do you enjoy giving oral sex?,Love it!,It's okay.,Not so much.,Gross!,33482,O,,sex/intimacy
q30207,Is love overrated?,"Yes, absolutely.","Yes, a bit.","No, it's fine.","No, it's underrated.",29060,O,,opinion
q30248,How do you feel about extended breastfeeding (breastfeeding after 1 year of age)?,It's vitally important for the child's well-being.,I support it.,"I could tolerate it, I suppose.",I don't think it's a good idea.,3064,O,,opinion
q30367,How soon would you meet your significant other's parents?,Right Away!,After a few weeks of dating,After a few months of dating,After a few years of dating,3571,O,,descriptive; preference
q30384,How often do you wash your dishes?,As I use them.,Daily.,When I run out of clean utensils.,When the sink starts to smell funny.,28082,O,,descriptive
q30416,'Your a bitch!' What bothers you more about the above sentence?,The profanity,The grammar,They both bother me equally,Neither one bothers me,32676,O,"3, (1, 2), 4",descriptive
q30417,Do you enjoy Renaissance Faires or other Medieval re-enactment events?,I love them and go whenever I can,They're fun once in a while,"No, they don't interest me",Never heard of it,3878,O,,descriptive
q30458,You find a mess in the left by someone you live with. You'd be likely to clean it up...,"... immediately, you like having a clean space.",... only if they'd have done the same for you.,"... grudgingly, and then yell at them later.",... when Hell freezes over.,1893,O,,descriptive
q30724,The person you are dating has a different faith or religion than you.  They ask you to go with them to a religious function.  Do you go?,Yes,No,It depends on what kind of function it is,It depends on what religion it is,9630,O,"2, (3, 4), 1",religion/superstition
q30830,"Would you do something outrageous, stupid or adventurous simply because it would make a good story to tell later? (Assume there would be no serious consequences to your actions.)","Yes, whenever possible.","Yes, but nothing too crazy.","Maybe, depends on what and who with.","No, and please don't run with scissors.",26945,O,,preference; descriptive
q30865,How much time do you spend doing volunteer work each week?,None,Less than 5 hours,5 to 10 hours,More than 10 hours,8251,O,,descriptive
q30957,Do you find freckles attractive?,Yes,No,I'm Not Sure,It depends where on the body they are,15944,O,"2, (3, 4), 1",preference
q30981,What do you think about downloading pirated music/videos off the internet?,No problem. I do it all the time.,"I do it, but feel bad.",It's wrong and I don't do it.,No opinion / Don't know,2874,O,"3, 4, 2, 1",politics
q31233,"Generally speaking, do you believe that violent revolution is a legitimate method of effecting fundamental social, political, and economic change?",Yes,No,I'm not sure,I don't care about such matters,3234,O,"2, (3, 4), 1",politics; opinion
q31374,"Have you ever tried any sexual roleplaying, such as student/teacher or patient/nurse?",All the time. It really turns me on!,"Yes, on occasion. I have to be in the mood.","No, but it sounds interesting.","No, and it isn't going to happen. Ever.",29214,O,,sex/intimacy
q31758,Are you comfortable with using the toilet while your partner is in the bathroom with you or being in the bathroom while he or she is using the toilet?,"Yes, I'm not shy about it at all!","Pretty much, as long as we're close.",No way! I like my privacy.,I'm not sure/I don't know.,6150,O,"3, 4, 2, 1",sex/intimacy; preference; descriptive
q31821,Do you think the government should limit big chain stores to give small businesses a chance?,Yes,No,Maybe,Don't know/Don't care,24984,O,"2, (3, 4), 1",politics
q31840,I prefer to sleep:,Alone,"With my partner, but apart (not touching)",Touching my partner,Embracing / cuddling my partner,39117,O,,sex/intimacy
q31898,How do you feel about zoos?,I think they're lots of fun!,"Sure, they're fine.","Those poor, locked-up animals!",Zoos are boring.,24073,O,,preference; opinion
q32190,"'I don't lie, I just don't say all that I could!'  Is this the same as lying?","Yes, absolutely,","No, but it's close.","No, not at all.",I'm not sure.,6117,O,"3, 4, 2, 1",opinion
q32286,How do you feel about genetically modified foods?,Fully approve,Hesitant / more controls needed,Opposed,No opinion/ don't know,4467,O,"3, 4, 2, 1",preference; opinion
q32807,Do you condone the wearing of fur for fashion?,"Yes, why not?","No, those poor animals!","Sort of, faux fur only!",No opinion or  don't know/care.,6481,O,"2, (3, 4), 1",preference
q32855,Underarms can be a hairy subject. How do you maintain your pits?,"I let it grow, wild & free!",Occasionally I'll trim.,I shave consistently.,Whatever I feel like at the time.,27844,O,,descriptive
q32973,Are you an adventurous eater? Do you like to try new foods and ethnic cuisines?,"Yes, all the time.","Yes, if it's not too strange.",On rare occasions/I don't know.,"No, yuck.",33661,O,,descriptive
q32980,Would you rather be indoors or outdoors at any given moment?,Definitely indoors,Definitely outdoors,Depends on my mood,Depends on the weather,3954,O,"2, (3, 4), 1",descriptive
q33107,"Would you consider being part of a committed polyamorous relationship (i.e., three or more people but no sex outside the group)?","Yes, I like that type of polygamy.",I could be convinced by the right people,I am commited to total monogamy,I have open relationships only,12788,O,"4, 1, 2, 3",sex/intimacy
q33170,"If/when you have NO pressing obligations (employment, schooling, children, errands, bedtime, or other factors aside), at what time do you prefer to get up in the morning?",Early bird gets the worm! I'm up before the sun!,Pretty Early (6:00ish - 9:30ish AM),I like to sleep in a bit. (9:30ish AM - Noonish),Morning? Curse that AM light! (afternoon or dark),27163,O,,descriptive
q33346,What is your opinion of people who speak baby-talk to their pets?,Endearing. It shows their sensitive side.,Annoying as hell.,I wuv my kitty-widdy-pookie-doo!!!,I'm indifferent.,4348,O,"3, 1, 4, 2",opinion
q33435,"Do people who say 'lol' frequently (like, once every other three lines or more) get on your nerves?",Yes!,No.,"It's a little annoying, but I try to get past it.",I don't know.,4350,O,"2, 4, 3, 1",descriptive
q33602,"Do you attempt to conserve water, energy or other resources during your everyday life?","Yes, almost always",Sometimes,"No, I don't care","No, it's my right to waste as much as I want",29187,O,,descriptive; preference
q33625,Would you consider a romantic relationship with a social phobic (someone with a fear/anxiety of social interractions and dislikes being out in public)..?,"Sure, if they are fun/interesting in private.","Yes, but ONLY if they get counseling/medication.",No! They couldn't be possibly be fun/interesting.,Depends / Don't know / Don't care.,8083,O,"3, 4, 2, 1",preference
q33949,Do you prefer to eat organic food?,"Yes, as much as possible","I would, but it's too expensive","Sometimes, if it's easy to get",No / Don't Care,21121,O,,preference
q34099,Can a person change who they are without betraying who they are?,"No, be true to yourself as you are.","Yes, it's good to evolve","I'm not sure, but I think about it a lot.","I don't know, and it's not important.",4065,O,"2, (3, 4), 1",opinion
q34113,"How do you feel about government-subsidized food programs (free lunch, food stamps, etc.)?",No problem,"It's okay, if it is not abused",Okay for short amounts of time,Never - Get a job,31769,O,,politics
q34149,Do you feel you were born in the correct era/time period?,"Yes, I love the current times!","No, I should've been born in the future.","No, I should've been born in the recent past.","No, I should've been born in the distant past.",11838,O,"2, 1, 3, 4",preference
q34181,Which makes you feel worse? Getting angry to the point of hitting something or someone? Or getting so sad as to the point of tears?,Getting Angry,Getting Sad,They Both Equally Suck,I Don't Know,3373,O,"2, (3, 4), 1",descriptive
q34207,Are you more of a secretive person or an open book?,Secretive,Open Book,I'm Not Sure,Somewhere In Between,5748,O,"2, (3, 4), 1",descriptive
q34237,Are you a different person in public and in private?,Yes,I'm *mostly* the same person,"I don't think so, but I was told this",I'm totally the same!,3313,O,,descriptive
q34471,In which climate zone would you prefer to live?,Tropical - I love the heat!,"Mediterranean - warm, but not too hot.",Temperate - everything in moderation.,Subarctic - love the cold and snow.,8257,O,,preference
q34511,Would you say you have...,A green thumb,A black thumb,A modicum of success with vegetation,Absolutely no interest in plants,10705,O,,descriptive
q34517,"Do you enjoy dark, violent, or disturbing music?",Yes,No,When I'm in the mood.,Unsure,25250,O,"1, 3, 4, 2",descriptive; preference
q34641,Do you use 'Jesus Christ' or 'God damn it' when you curse?,Yes,"Yes, but I regret it.",No.,I do not curse at all.,11442,O,,religion/superstition; descriptive
q34656,Do you believe that people should take a 'parental fitness' test before being allowed to reproduce?,Yes,No,I'm Not Sure,Only Convicted Felons,5459,O,"2, (3, 4), 1",politics
q34662,How many books do you own?,Less than 5,5-25,25-50,50+,14840,O,,descriptive
q34665,Who will be responsible for cooking the meals and cleaning the house? Assume you both work.,Me,My partner,We will split or take turns,Not my concern / Don't care / Other,6428,O,"2, (3, 4), 1",preference
q34776,A bird has built a nest on your house or garage.  Do you knock it down?,"Yes, I'm scared of birds","Yes, for some other reason or no reason at all","No, what's the big deal?","No, and I hang a feeder 20 feet away",14548,O,,descriptive
q34792,Would you be willing to date a musician?,Of course!,Possibly...depending on what they do.,I really don't know.,Not a chance!,22350,O,,preference
q34929,Is it okay for someone to try and influence their romantic partner's appearance or clothing?,Couples should try to look pleasing for each other,As long as it's not extreme and they ask nicely,They shouldn't try to change their partner.,Demands create weird power struggles.,10975,O,,opinion
q35078,Can you name five living poets and the title of one book by each?,Yes,No,"Poets, but not titles",I can't even name five dead poets,10673,O,"4, 2, 3, 1",descriptive
q35102,You're at the grocery store and you've got a lot of items. There is only one cashier and a couple of people in line behind you. Do you bag your own stuff?,Always,Sometimes. When I'm in a hurry.,Rarely,Never. That's their job!,2194,O,,descriptive
q35355,How open are you to trying new things in bed?,Very open. I'll try anything once.,"I'm open, but I don't get too crazy.","Hesitant, but it might happen.",Not at all.,40231,O,,sex/intimacy
q35385,"How often in conversation are you likely to use an exact quote from a movie, play, or TV show?",Once a day or more.,Every few days or so.,Once a week or less.,I never do this or I no longer do this.,17013,O,,descriptive
q35388,How would you feel about learning Tantric sexual practices?,Sign me up for the next class.,Get a book or video and learn more.,I have no interest.,I am already experienced in Tantric sex.,12978,O,"4, (1, 2), 3",sex/intimacy
q35409,You just prepared some food in your kitchen and made a mess.  Do you:,Clean up immediately.,Clean up immediately after eating.,Postpone the cleanup for later.,Not cleanup at all.,13909,O,,descriptive
q35475,"When in a relationship, what importance do you place upon celebrating weekly or monthly anniversaries?",High.,Moderate.,Low.,None.,28563,O,,preference
q35482,"Assume you have a job where surfing the Internet is against the rules, would you surf the net anyway if there exists only a small chance of being caught?","Yes, even if I have work to do.","Yes, but only after all my work is done.","No, it would not be worth the risk.","No, it would wrong - I'm not being paid for this.",1939,O,,descriptive; preference
q35520,"Does netspeak (e.g., afk, brb, How RU?, lol, rotfl, ttyl, etc.) bother you?",Yes.,No.,Some of the time - It depends.,I don't know.,25830,O,"2, (3, 4), 1",descriptive
q35564,Who most often does your laundry?,I do it myself.,"A friend, relative, or spouse does it.",A laundry service does it.,My clothes are never washed.,5750,O,,descriptive
q35593,"If married, when would you expect your partner to wear a wedding ring?",Most or all of the time.,Some of the time.  It's situation dependent.,Seldom or not at all.,Only when they want to.,17132,O,,preference
q35594,"Compared to those who are entirely straight or entirely gay, do you think bisexuals are more or less likely to be unfaithful?",Bisexuals are more likely to be unfaithful.,Bisexuals are less likely to be unfaitful.,It makes no difference.,I don't know.,3393,O,"2, (3, 4), 1",opinion
q35606,"Does hanging out in an empty field, in the middle of no where, at 2am to watch a meteor shower sound like fun to you?",Heck yeah! I'll bring the hot cocoa/coffee/tea.,I've never done it but it sounds like fun.,I could take it or leave it.,Sounds like a complete waste of time.,21991,O,,preference
q35660,How often are you open with your feelings?,Always,Usually,Rarely,Never,49489,O,,descriptive
q35673,"Would you participate in office pools (i.e., gambling on sports, reality TV, etc.)?","Yes, I'd gamble on almost anything.","Yes, but only if really interested in the subject.","No, it is illegal or against the rules.","No, I have no interest in gambling.",2425,O,,preference
q35674,"If your partner liked to sing in public, but was often completely off-tune, how would you react?",I'd find it cute and offer encouragement.,I'd be unaffected.,I'd find a way to tolerate it.,I'd demand that my partner stop singing in public.,3803,O,"4, 2, 3, 1",preference; descriptive
q35862,"When you are sleeping, do you prefer:",A cold room,A cool room,A warm room,A hot room,29945,O,,preference
q35894,Does showering or bathing with your significant other appeal to you?,Yes,No,Only bathing,Only showering,16201,O,"2, (3, 4), 1",preference
q35904,"In general terms, where should breast-feeding be allowed?",Anywhere.,Only where others are allowed to eat.,Only in discrete / designated areas.,Only in private.,9461,O,,opinion
q35906,Which best describes your method for paying off financial debt?,I pay off debt as soon as possible.,I pay off debt when it is best for me.,I avoid paying if at all possible.,I never borrow money.,13506,O,"4, 1, 2, 3",descriptive
q35955,How would you feel if your significant other made more money than you?,Very comfortable,Somewhat comfortable,Somewhat uncomfortable,Very uncomfortable,24997,O,,descriptive
q35959,How much do you like to be tickled during sex?,Tickle me until I cry. It really turns me on.,I like being tickled during sex.,I do not like being tickled during sex.,"I don't like to be tickled, ever.",19622,O,,sex/intimacy
q35997,"When you see a heterosexual couple, what do you think if the female is taller?",They look wrong together.,I actually like it that way.,"Interesting, but it really doesn't matter.",Who cares?,8856,O,"2, (3, 4), 1",opinion
q36027,How would you feel if one of your parents dated someone close to your age?  Assume for the purpose of this question that their dating would otherwise be acceptable.,I would not care as long as they were happy.,"It might be weird, but I'd eventually accept it.","It would be wrong, but I would not get involved.",This would be wrong and I would speak my mind.,1963,O,,preference
q36045,Are you ready to settle down and get married right now?,Absolutely.,No way.,"Get married yes, settle down no.","Get married no, settle down yes.",35186,O,"2, (3, 4), 1",descriptive
q36273,"If your doctor discovered that you have a noncommunicable terminal illness that will kill you in about five years, when would you want to be told?",Immediately.,"Later, when I have a year or more left.","Later, when I have less than one year left.",Never.,1346,O,,preference
q36327,"Would you like to live in a small community where everyone lives and works together, and where all property and possessions are owned collectively?",Yes.,No.,"Perhaps, depending upon the specifics.",I already do!,6166,O,"2, 3, 1, 4",preference
q36342,"Assume that you and your partner have different religious beliefs. If you have a child together, which religion would you force the child follow?",My religion.,My partner's religion.,"Both religions, no matter how contradictory.",We would educate our child to make its own choice.,7472,O,"(1, 2), (3, 4)",religion/superstition
q36357,Motorcycles are...,Good transportation / fun.,Good for others but not for me.,Bad and should be outlawed.,Not interesting.,6946,O,"3, 4, 2, 1",opinion
q36411,How often do you (or would you) call in sick to work or school when you are not actually ill?,Never.,"Once, twice, or three times per year.",Four to ten times per year.,More than ten times per year.,3959,O,,descriptive
q36507,How does owning pets compare to raising children?,Pets and kids are one in the same.,Different species but universal techniques.,They're similar.  Pets can prepare you for kids.,The two are nothing alike.,4303,O,"4, (1, 2, 3)",opinion
q36519,Do you stop to enjoy simple things in nature?,Often.,Sometimes.,Rarely.,Never.,17801,O,,descriptive
q36626,How often do you find yourself holding back your knowledge of a subject because of how it might affect your image?,Very often.,Sometimes.,Rarely.,Never.,8585,O,,descriptive
q36823,Stereo on during sex?,Always.,It depends on the music.,It depends on the sex.,Never.,15435,O,"4, (2, 3), 1",sex/intimacy
q36970,Would you be willing to dress up as a member of the opposite sex if it would turn your partner on?,"If it excites them, I'd even do it in public.","Yes, but only in private.",No.,I do it already!,12299,O,"4, 1, 2, 3",sex/intimacy; preference
q37115,"Let's say you ask your partner a question and know with certaintly that their answer is a lie, what do you do about it?",Ignore it.,Discreetly probe for more information.,Call them out and see where it goes.,"Terminate the relationship, effective immediately.",8966,O,,preference; descriptive
q37271,"After a serious relationship, how long should you wait before casually dating?",A few weeks.,A few months.,At least a year.,Why wait?,2280,O,,opinion
q37320,How often do you interrupt people?,Never.,Rarely.,Often.,Always.,17417,O,,descriptive
q37545,Is 'just be yourself' good advice?,Absolutely.,It's vacuous. Who else can I be?,Not quite. I mind how I come off.,No. I misrepresent myself as needed.,9259,O,,opinion; descriptive
q37693,"Would you be willing to date someone who plays video games almost every day, for at least 2 hours?","Yes, I'd be playing with them.","Yes, but I would not play that much.","Yes, but I don't like video games.",No.,36165,O,,preference; descriptive
q37695,"Not including Halloween, do you enjoy dressing up in costumes?",Yes - Every chance I get.,Yes - On occasion.,"I think that I might, but I do not.",No.,20092,O,,preference
q37759,"If a very skinny stray cat were to come to your doorstep, would you feed it, believing that if you did, it would probably keep coming back?",Yes - I would consider adopting it.,"Yes, but I could make no further commitment to it.",No - Someone else should feed it.,No - I would try to scare it away.,7311,O,,preference; descriptive
q37764,How often do you read your horoscope?,Daily.,Weekly.,Occasionally.,Never.,20171,O,,religion/superstition; descriptive
q37765,How often do you hang out at coffee shops / cafes?,Two or more times a week.,From once a month to once a week.,Less than once a month.,Never.,17413,O,,descriptive
q37772,"If you had to choose one for the rest of your life, which would you pick?",Monogamy,An open relationship,Polyamory,Playing the field,12646,O,,preference
q37886,Would you be afraid if you were walking alone on a city sidewalk after dark?,Yes.  I'd be scared for sure.,"Yes, if the location is considered dangerous.",No.  No city street scares me.,"No, but people should fear me.",2618,O,,descriptive
q37892,"Imagine you are having sex with a partner, who begins to give you specific instructions on how to best provide satisfaction.  Assuming there is no danger, would you follow these instructions?",No.  That would be the end of that encounter.,No.  I'd continue doing it my way.,"Yes, but I would be offended.",Yes.  I'd be greatful for the communication.,8875,O,,sex/intimacy
q38094,How far would you be willing to travel to meet a person of interest who also has a high match percentage for you here on OkCupid?,Up to 20 miles (32km),21 to 100 miles (33 to 161km),101 to 500 miles (162 to 805km),More than 500 miles (805km),9554,O,,preference; descriptive
q38192,"Do you get annoyed if someone uses a word or phrase incorrectly, even if you still understand the speaker's meaning?","Yes, and I'd correct them","Yes, but I wouldn't correct them","No, and I wouldn't correct them","No, but I'd still correct them",1335,O,"(1, 2), (3, 4)",descriptive
q38467,How many albums are there in your music collection?,1 to 100 albums.,101 to 300 albums.,301 or more albums.,I have no music albums.,18997,O,"4, 1, 2, 3",descriptive
q38555,How often were you picked on by other kids your age when you were growing up?,Very often.,Sometimes.,Rarely.,Never.,12527,O,,descriptive
q38912,How do you feel about germs?,Obsessed: I bleach anything I can't trust!,Careful: I wash my hands and cover my sneezes.,Polite: I always wash up when someone's watching.,Unconcerned: I don't actively lick doorknobs.,24415,O,,descriptive
q39226,You stop to pick up a newspaper and notice that the coin-operated dispenser was not completely closed. No one is around so you have the opportunity to take a paper without paying. Which of the following would you do?,Pay for a paper and close the dispenser.,Steal a paper and close the dispenser.,Steal a paper and leave the dispenser open.,Steal all of the remaining papers.,2111,O,,preference; descriptive
q39337,Which olfactory strategy would you prefer a partner take when on a date with you?,Perfume / aftershave / cologne.,Antiperspirant or subtle deodorant only.,Clean and natural.,Sweatiness is Godliness.,15545,O,,preference
q39373,How often do you do things out of spite?,Very often.,Sometimes.,Rarely.,Never.,31964,O,,descriptive
q40484,"Would you date someone, knowing that they had a VERY close family member (parent, sibling) who was openly gay?",Yes,No,I'm Not Sure,"If they didn't flaunt it, it would be all right.",10270,O,"2, (3, 4), 1",religion/superstition; preference
q40650,"Do you and your ideal significant other enjoy making sarcastic jokes at each other's expense, knowing that it's all in good fun?",Yes! That's a personality trait we have to share.,"Sometimes, but not too much.","No, sarcasm doesn't belong in a love relationship.","I can't dish it out, but I'd take it, I guess.",22675,O,"3, 4, 2, 1",preference
q40775,How often are you tested for STDs?,Never,Before/After every new partner,Regularly,Only when I'm worried about specific one,15689,O,"3, 2, 4, 1",sex/intimacy; descriptive
q40851,"Imagine that a first date picks you up in a car.  The car is old and run-down, but otherwise clean.  How would the car affect your opinion of your date?",Positively - Any car is good.,Negatively - I don't like riding in old jalopies.,"Could go either way, depending on the make/model.",Not at all - It's all about the driver.,11689,O,"2, (3, 4), 1",preference; descriptive
q41099,"Right this minute, how clean is your main personal bathroom, (say the one you use every morning when you wake up in your own bed)?","Spotless, shiny, germ-free, clean clean clean.",Clean-ish but could use a quick touch-up.,"Not awful, but it could use a good cleaning.",Disgusting! even I cringe when I have to use it!,27184,O,,descriptive
q41112,"Have you ever written short fiction, other than for school assignments?",No.,"I've tried, but never finished a story.",I've finished at least one short story.,I've written many short stories.,11374,O,,descriptive
q41152,Which do you think is more important in today's world?,Fostering intercultural harmony.,Preserving cultural traditions and diversity.,Both are equally important.,I'm not sure.,2425,O,"2, (3, 4), 1",politics; opinion
q41242,Your significant other is traveling and has the opportunity to stay with a good friend that you know they find to be very attractive.  What's your stance on the situation?,It would be totally unacceptable.,"It might be ok, but I'd want to discuss it first.",It's fine - I don't see any problem.,It sounds sexy - Hopefully they'll hook up.,22014,O,,preference
q41352,How important is it for your spouse to have many friends?,Very Important,Important,Somewhat Important,Not Important,9632,O,,preference
q41689,"Imagine that you have a particular sexual desire you would like to satisfy with a significant other, but they are unwilling to help you fulfill it.  How would this affect your relationship?",It would end the relationship.,I would continue only if satisfied elsewhere.,I would manage without it if all else is good.,It wouldn't - Sex just isn't that important to me.,13000,O,,sex/intimacy
q41733,Have you ever gone mountain climbing?,"Yes, and I enjoyed it.","Yes, but I did not like it.","No, but I would like to some day.","No, and I do not want to.",16105,O,"(1, 2), (3, 4)",descriptive
q41856,Do you avoid exposure to sunlight?,Yes.,"No, but I use sunscreen to minimize my exposure.","No.  I like to sunbathe, but only in moderation.",No.  I sunbathe as much as possible.,4532,O,,descriptive
q41953,About how long do you want your next relationship to last?,One night,A few months to a year,Several years,The rest of my life,48614,O,,preference
q42010,"Do you make any special efforts to support small, independent businesses instead of the big chains?","Yes, I support the little guys whenever I can.","No, I prefer dealing with big business chains.",I support whoever has superior products/services.,This does not concern me at all.,21617,O,"2, (3, 4), 1",politics
q42118,"It's 2 AM. While driving home, you stop at an intersection with a red traffic light.  After waiting over six minutes, it still hasn't changed to green. No one seems to be around. What do you do?",Run the red light.,Continue to wait patiently.,"Find a legal way to reroute, avoiding the light.",Abandon the vehicle and continue on foot.,13700,O,"4, (2, 3), 1",descriptive
q42120,"Are you a 'double dipper'?  In other words, do you ever take a bite of food and then dip it back into a shared sauce or dip?","Yes, I double dip indiscriminately.","Yes, but only with family or close friends.","Yes, but only with a partner.","No, never.",22928,O,,descriptive
q42121,Would you consider voting for a candidate from outside your own political party if they seemed superior to your party's own candidate?,Yes.,No.,"I'd vote, but have no political party affiliation.",I would not vote at all.,4800,O,"4, 2, 3, 1",politics; descriptive
q42266,Do you sleep with the television on?,"Yes, always","No, never ever",Sometimes,Depends on what I'm watching,8225,O,"2, (3, 4), 1",descriptive
q42415,Karaoke?,Absolutely!,"I haven't, but I might try it.",I'd be too embarrassed.,No way! How could that be any fun?,634,O,,preference
q42791,Your significant other wants to go to a strip club with a few friends. What are your thoughts on this?,I'm completely against it.,"I don't like it, but doesn't bother me that much.","No, I'm not against it at all / I'd go with them.","I would be upset, but I'd let them go.",15219,O,,preference; descriptive
q42918,What volume level do you usually prefer when listening to music?,Loud or louder.,Somewhere in the middle.,Soft and in the background.,I prefer to not listen to music.,24644,O,,preference
q42932,Have you ever ridden a horse?,"Yes, and I enjoyed it.","Yes, but I did not like it.","No, but I would like to some day.","No, and I do not want to.",16773,O,"(1, 2), (3, 4)",preference; descriptive
q43261,How much influence or control do your parents have over your life?,I am my own person.,I consider their opinion but go my own way.,I almost always do what my parents think is best.,I always do what my parents say.,44620,O,,descriptive
q43297,"Imagine that while browsing profiles on OkCupid, you come across someone you find very attractive, but their pictures violate nudity rules.  Would you flag the pictures for being inappropriate?","Yes, people should not see nudity on OkCupid.","Yes, but not before making a copy.","No, this doesn't bother me.","No, nudity should be allowed and encouraged.",5269,O,,opinion
q43471,Do you remember dreams that you had as a child?,"Yes, only good dreams.","Yes, only bad dreams.","Yes, both good and bad dreams.",No.,9503,O,"3, (1, 2), 4",descriptive
q43682,"Consider your skills.  Based on these, would you be able to survive at least a year in a post-apocalyptic world?  Imagine no electricity, no plumbing, no grocery stores, and so on.",Most definitely.,Probably.,Possibly.,No chance.,7780,O,,descriptive
q43746,How many live plants do you have in your home?,None.,One or two.,Three to nine.,Ten or more.,12935,O,,descriptive
q43962,How often do you read a newspaper?,Every day.,At least once a week.,Less than once a week.,Never.,15936,O,,descriptive
q44063,War.  What is it good for?,Absolutely nothing.,Some things.,Many things.,Everything.,4941,O,,politics; opinion
q44068,Have you ever sniffed your clothes to decide if you will wear them or not?,"No, that's disgusting!",Sometimes / Maybe,I have to... my clothes are mixed up on the floor,No need... I use the hamper and only wear once,2868,O,"4, (2, 3), 1",descriptive
q44147,"On average, how much alone time do you need each day?",None.,Less than one hour.,One to three hours.,More than three hours.,4186,O,,descriptive
q44350,"You're in a cabin and it is freezing cold.  If you don't start a fire soon, you will surely die.  You only have two flammable items for kindling. Which do you use to get the fire going?",My country's flag.,The only copy of a great and important book.,Neither - I'd rather freeze to death.,Both - I have no hesitation burning either.,7653,O,"4, (1, 2), 3",preference; descriptive
q44354,Do you enjoy long camping trips? (longer than 3 nights),I don't like to camp.,"I've never camped, but would like to.","I like to camp, but not long trips.",I love long camping trips.,27526,O,,preference
q44384,Which best represents your opinion of same-sex relationships?,"Girl-on-girl is okay, but guy-on-guy is wrong.","Guy-on-guy is okay, but girl-on-girl is wrong.",All same-sex relationships are wrong.,It's all fine by me.,28836,O,"4, (1, 2), 3",politics
q44821,Do you believe that your government should fund embryonic stem cell research that would require the destruction of additional human embryos?,Yes.,No.,I'm not sure.,I don't care.,8123,O,"2, (3, 4), 1",politics; religion/superstition
q44854,Is it equally bad for a man and woman to cheat on a partner?,Yes.,"No, it is worse if a man cheats.","No, it is worse if a woman cheats.",I have no problem with cheating either way.,8945,O,"4, (2, 3), 1",sex/intimacy; opinion
q45124,Which best describes your attitude toward dating?,Dating is something I enjoy for its own sake.,"Dating can be fun, but it should lead to more.","I don't like dating, but it's a means to an end.","I do not like dating, period.",5692,O,,preference
q45428,Do you say 'Thank you' to wait staff when served in a restaurant?,Always.,Most of the time.,Occasionally.,Never.,36781,O,,descriptive
q45449,"Imagine you meet someone, and there seems to be mutual attraction. Unfortunately, you are separated by circumstance with no more than each other's names. A week later, the person calls you to ask for a date. How would you react?",I'd be truly impressed and would say yes.,"This is weird, but I'd be cautiously optimistic.","Negatively, this would makes me uncomfortable.",I'd look into getting a restraining order.,3600,O,,preference; descriptive
q45553,What is your opinion on freckles?,They turn me on. The more the merrier!,"They turn me off. Give me flawless skin, please.",I could take them or leave them.,A light dusting can be cute.,21022,O,"2, 3, 4, 1",preference
q45595,How comfortable would you be talking about your own personal body waste-removal experiences with someone you are interested in?,Very comfortable.,Somewhat comfortable.,Somewhat uncomfortable.,Very uncomfortable.,3330,O,,descriptive
q46071,"During conversation, do you gesticulate?",Yes.  Often.,No.  Never.,Perhaps occasionally.,I'm not sure.,10750,O,"2, (3, 4), 1",descriptive
q46252,Have you performed in a theater setting as an adult?,"Yes, as a professional.","Yes, as a student.","Yes, as a hobby.",No.,10951,O,,descriptive
q46464,What do you feel should be the minimum age at which a child should be allowed to drink an alcoholic beverage under the supervision of a parent?  Choose the category that contains your answer.,00 to 11 years of age.,12 to 14 years of age.,15 to 17 years of age.,18 years of age or older.,6637,O,,politics; opinion
q46485,Some animal-rights campaigners use violent methods to achieve their goals.  Do you feel they are justified in doing so?,Yes.,No.,Only in some cases.,I'm not sure.,5913,O,"2, (3, 4), 1",politics
